type,name_or_info,latitude,longitude,url
boulder,Back of seveso,46.026882,7.316352,/crags/fionnay/sectors/back-of-seveso
boulder,Back of Television,46.032745,7.312092,/crags/fionnay/sectors/back-of-television
boulder,Bad Beat,46.032209,7.313235,/crags/fionnay/sectors/bloc-4-84879
boulder,Below Moleskine,46.023253,7.319966,/crags/fionnay/sectors/name-84919
boulder,Big boulder,46.029683,7.314466,/crags/fionnay/sectors/big-boulder-84724
boulder,Bloc 1,46.031976,7.313207,/crags/fionnay/sectors/bloc-1-84876
boulder,Bloc 10,46.03334,7.312603,/crags/fionnay/sectors/bloc-10-84888
boulder,Bloc 11,46.033449,7.312424,/crags/fionnay/sectors/bloc-11
boulder,Bloc 13,46.033651,7.312514,/crags/fionnay/sectors/84889
boulder,Bloc 15,46.032572,7.311718,/crags/fionnay/sectors/bloc-15-84900
boulder,Bloc 16,46.032456,7.312227,/crags/fionnay/sectors/bloc-16
boulder,Bloc 18,46.032582,7.312479,/crags/fionnay/sectors/bloc-18-84903
boulder,Bloc 19,46.032365,7.312588,/crags/fionnay/sectors/bloc-19-84905
boulder,Bloc 2,46.03192,7.313288,/crags/fionnay/sectors/bloc-2-84877
boulder,Bloc 20,46.032144,7.31262,/crags/fionnay/sectors/bloc-20-84909
boulder,Bloc 21,46.032327,7.312595,/crags/fionnay/sectors/bloc-20-84906
boulder,Bloc 22,46.032107,7.312166,/crags/fionnay/sectors/bloc-21-84911
boulder,Bloc 23,46.032102,7.312973,/crags/fionnay/sectors/bloc-23-85420
boulder,Bloc 24,46.031712,7.311827,/crags/fionnay/sectors/bloc-24-85421
boulder,Bloc 3,46.032025,7.313197,/crags/fionnay/sectors/bloc-3-84878
boulder,Bloc 31,46.03175,7.313188,/crags/fionnay/sectors/bloco-85411
boulder,Bloc 32,46.032691,7.313117,/crags/fionnay/sectors/project-84884
boulder,Bloc 33,46.028995,7.315288,/crags/fionnay/sectors/project-84727
boulder,Bloc 34,46.032794,7.312973,/crags/fionnay/sectors/project-2-84885
boulder,Bloc 34,46.03138,7.313115,/crags/fionnay/sectors/to-be-climbed
boulder,Bloc 35,46.031405,7.313474,/crags/fionnay/sectors/untouched
boulder,Bloc 36,46.031576,7.312876,/crags/fionnay/sectors/when-will-it-be-climbed
boulder,Bloc 5,46.032518,7.313833,/crags/fionnay/sectors/84882
boulder,Bloc 7,46.033025,7.312281,/crags/fionnay/sectors/bloc-13-84896
boulder,Bloc 8,46.033016,7.312632,/crags/fionnay/sectors/bloc-12-84895
boulder,Bloc 9,46.033131,7.312574,/crags/fionnay/sectors/big-bloc
boulder,Bourdo,46.032492,7.312355,/crags/fionnay/sectors/bloc-17-84902
boulder,Brush,46.031434,7.313281,/crags/fionnay/sectors/brush
boulder,Compex,46.032241,7.312277,/crags/fionnay/sectors/compex
boulder,Compresse,46.029563,7.314594,/crags/fionnay/sectors/compresse
boulder,Dr Winkler,46.032107,7.313444,/crags/fionnay/sectors/jump-84881
boulder,Easy,46.03088,7.313078,/crags/fionnay/sectors/easy-84867
boulder,F the System,46.028167,7.313439,/crags/fionnay/sectors/f-the-system
boulder,Grape Ape,46.032079,7.311284,/crags/fionnay/sectors/grape-ape
boulder,Highball not brushed ,46.031757,7.312826,/crags/fionnay/sectors/highball-not-brushed
boulder,Highball project ,46.033378,7.313151,/crags/fionnay/sectors/highball-project
boulder,Katcha,46.031569,7.312693,/crags/fionnay/sectors/katcha
boulder,L' escargot rampe toujours,46.028158,7.315447,/crags/fionnay/sectors/l-escargot-rampe-toujours
boulder,L'eau water solo,46.0274,7.315703,/crags/fionnay/sectors/low-water-solo
boulder,L’irrécupérable ,46.023666,7.32036,/crags/fionnay/sectors/l-irrecuperable
boulder,La belle rampe ,46.032921,7.311674,/crags/fionnay/sectors/la-belle-rampe
boulder,La Danse des Abeilles,46.031057,7.310007,/crags/fionnay/sectors/la-danse-des-abeilles
boulder,La plage,46.029076,7.314823,/crags/fionnay/sectors/la-plage-84726
boulder,Le chien,46.029381,7.314856,/crags/fionnay/sectors/le-chien
boulder,Le long chemin blanc,46.033472,7.312105,/crags/fionnay/sectors/cheval-blanc
boulder,Maison des voies ,46.0288,7.312222,/crags/fionnay/sectors/maison-des-voies
boulder,Moleskine,46.02303,7.319778,/crags/fionnay/sectors/moleskine
boulder,Mysterious woodstick ,46.032361,7.313507,/crags/fionnay/sectors/mysterious-woodstick
boulder,Ovni ,46.032215,7.312652,/crags/fionnay/sectors/ovni-84908
boulder,Oxo,46.030578,7.313946,/crags/fionnay/sectors/forgotten-name
boulder,Permanent Midnight,46.031586,7.311176,/crags/fionnay/sectors/permanent-midnight
boulder,Plage,46.029237,7.314785,/crags/fionnay/sectors/plage-84720
boulder,River bloc 2,46.027095,7.316252,/crags/fionnay/sectors/river-bloc-2
boulder,Riverbloc,46.027222,7.316093,/crags/fionnay/sectors/riverbloc
boulder,Roof,46.029605,7.314523,/crags/fionnay/sectors/roof-84723
boulder,Seveso,46.026973,7.316229,/crags/fionnay/sectors/seveso
boulder,Sheep fatale,46.03108,7.312894,/crags/fionnay/sectors/sheep-fatale
boulder,Slab,46.029478,7.314576,/crags/fionnay/sectors/slab-84725
boulder,Sur le côté ,46.029535,7.314836,/crags/fionnay/sectors/sur-le-cote
boulder,Taste the rainbow,46.027308,7.315759,/crags/fionnay/sectors/84925
boulder,Television addict ,46.032671,7.312031,/crags/fionnay/sectors/bloc-14
boulder,The yard ,46.032204,7.312721,/crags/fionnay/sectors/the-yard
boulder,Wall ,46.031361,7.313509,/crags/fionnay/sectors/wall-84869
boulder,Warm up ,46.027316,7.314596,/crags/fionnay/sectors/warm-up-84927
boulder,WarmUp,46.033346,7.31177,/crags/fionnay/sectors/warmup-84891
boulder,WarmUp,46.031764,7.312766,/crags/fionnay/sectors/warmup-84874
boulder,Yeti,46.032631,7.311959,/crags/fionnay/sectors/yeti
parking_space,Small parking: Use Permanent Parking!,46.031348,7.311294,/crags/fionnay/map_markers/445
parking_space,Parking F* The System,46.024092,7.322602,/crags/fionnay/map_markers/447
parking_space,Parking Permanent,46.030353,7.312804,/crags/fionnay/map_markers/11926
parking_space,Parking The Real Chien,46.030187,7.313992,/crags/fionnay/map_markers/11927
parking_space,Parking,46.031479,7.31003,/crags/fionnay/map_markers/11928
parking_space,Parking F The System,46.025006,7.320646,/crags/fionnay/map_markers/11929
